page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,NO,KKOODDEE IINNAA--CCBBGG,DESKRIPSI KODE INA-CBG,TTAARRIIFF IINNAA--CCBBGG
551,50.0,102.5,452.8,786.3,123,L-2-21-0,PROSEDUR BESAR PEMINDAHAN KULIT PADA LUKA BAKAR,2.378.400
551,50.0,102.5,452.8,786.3,124,L-2-22-0,PROSEDUR KECIL PEMINDAHAN KULIT PADA LUKA BAKAR,1.524.600
551,50.0,102.5,452.8,786.3,125,L-2-31-0,PROSEDUR BESAR PEMINDAHAN KULIT TANPA LUKA BAKAR,1.088.600
551,50.0,102.5,452.8,786.3,126,L-2-32-0,PROSEDUR KECIL PEMINDAHAN KULIT TANPA LUKA BAKAR,894.800
551,50.0,102.5,452.8,786.3,127,L-2-41-0,PROSEDUR BEDAH PLASTIK,2.132.200
551,50.0,102.5,452.8,786.3,128,L-2-42-0,PROSEDUR LAIN-LAIN PADA KULIT DAN JARINGAN BAWAH KULIT,657.000
551,50.0,102.5,452.8,786.3,129,L-2-51-0,PROSEDUR PENGANGKATAN PAYUDARA,2.772.200
551,50.0,102.5,452.8,786.3,130,L-2-52-0,PROSEDUR BESAR PADA PAYUDARA TANPA PENGANGKATAN PAYUDARA,2.083.200
551,50.0,102.5,452.8,786.3,131,L-2-53-0,PROSEDUR KECIL PADA PAYUDARA TANPA PENGANGKATAN PAYUDARA,1.068.400
551,50.0,102.5,452.8,786.3,132,L-3-10-0,PROSEDUR KECIL LAIN-LAIN PADA PAYUDARA,738.200
551,50.0,102.5,452.8,786.3,133,L-3-11-0,PROSEDUR BESAR PADA KULIT,604.300
551,50.0,102.5,452.8,786.3,134,L-3-12-0,PROSEDUR KECIL PADA KULIT,469.000
551,50.0,102.5,452.8,786.3,135,M-2-10-0,PROSEDUR REKONTRUKSI TULANG KRANIAL DAN WAJAH,2.269.700
551,50.0,102.5,452.8,786.3,136,M-2-21-0,PROSEDUR BESAR PADA SENDI PANGGUL DAN PAHA,2.494.800
551,50.0,102.5,452.8,786.3,137,M-2-22-0,PROSEDUR KECIL PADA SENDI PANGGUL DAN PAHA,531.900
551,50.0,102.5,452.8,786.3,138,M-2-31-0,PROSEDUR BUNION,1.515.300
551,50.0,102.5,452.8,786.3,139,M-2-32-0,PROSEDUR LAIN-LAIN PADA KAKI,600.200
551,50.0,102.5,452.8,786.3,140,M-2-41-0,"PROSEDUR EKSISI, INSISI DAN ARTHROTOMI TULANG",846.500
551,50.0,102.5,452.8,786.3,141,M-2-42-0,PROSEDUR PEMINDAHAN ALAT IMPLAN,590.700
551,50.0,102.5,452.8,786.3,142,M-2-51-0,PROSEDUR BESAR PADA JARINGAN LUNAK,1.271.900
551,50.0,102.5,452.8,786.3,143,M-2-52-0,PROSEDUR KECIL PADA JARINGAN LUNAK,976.200
551,50.0,102.5,452.8,786.3,144,M-2-61-0,PROSEDUR ARTROSKOPI,1.730.700
551,50.0,102.5,452.8,786.3,145,M-2-62-0,PROSEDUR LAIN-LAIN PADA SENDI & TULANG,594.300
551,50.0,102.5,452.8,786.3,146,M-2-63-0,"PROSEDUR INSISI, BIOPSI DAN GRAFT PADA TULANG",1.567.400
551,50.0,102.5,452.8,786.3,147,M-2-64-0,PROSEDUR BESAR PADA TULANG KEPALA & WAJAH,2.373.100
551,50.0,102.5,452.8,786.3,148,M-2-65-0,PROSEDUR KECIL PADA TULANG KEPALA & WAJAH,506.600
551,50.0,102.5,452.8,786.3,149,M-2-71-0,PROSEDUR BESAR PADA LUTUT & TUNGKAI BAWAH,2.530.600
551,50.0,102.5,452.8,786.3,150,M-2-72-0,PROSEDUR KECIL PADA LUTUT & TUNGKAI BAWAH,1.371.400
551,50.0,102.5,452.8,786.3,151,M-2-81-0,"PROSEDUR BESAR PADA LENGAN, SIKU & BAHU",2.963.500
551,50.0,102.5,452.8,786.3,152,M-2-82-0,"PROSEDUR KECIL PADA LENGAN, SIKU & BAHU",1.496.000
551,50.0,102.5,452.8,786.3,153,M-2-83-0,PROSEDUR BESAR PADA TANGAN & PERGELANGAN TANGAN,1.139.200
551,50.0,102.5,452.8,786.3,154,M-2-84-0,PROSEDUR KECIL PADA TANGAN & PERGELANGAN TANGAN,741.900
551,50.0,102.5,452.8,786.3,155,M-3-10-0,PROSEDUR MANIPULATIVE OSTEOPATHIC,175.600
551,50.0,102.5,452.8,786.3,156,M-3-11-0,PROSEDUR DIAGNOSTIK DAN TERAPEUTIK MUSKULOSKELETAL,658.700
551,50.0,102.5,452.8,786.3,157,M-3-12-0,PROSEDUR BIOPSI SENDI DAN TRAKSI SKELETAL,1.488.400
551,50.0,102.5,452.8,786.3,158,M-3-13-0,PROSEDUR REDUKSI FRAKTUR TERTUTUP,771.700
551,50.0,102.5,452.8,786.3,159,M-3-14-0,PROSEDUR REDUKSI FRAKTUR WAJAH TERTUTUP,783.500
552,50.0,102.5,452.8,786.3,160,M-3-15-0,PROSEDUR APLIKASI CASTS DAN SPLINTS,514.700
552,50.0,102.5,452.8,786.3,161,M-3-16-0,PROSEDUR THERAPI FISIK DAN PROSEDUR KECIL MUSKULOSKLETAL,213.100
552,50.0,102.5,452.8,786.3,162,M-3-17-0,PROSEDUR PEMASANGAN ALAT PROSTETIK,452.500
552,50.0,102.5,452.8,786.3,163,N-2-11-0,PROSEDUR BESAR PADA KANDUNG KEMIH,6.737.900
552,50.0,102.5,452.8,786.3,164,N-2-12-0,"PROSEDUR MEMBUAT BARU, MEREVISI DAN MEMINDAHKAN ALAT DIALISIS",4.752.400
552,50.0,102.5,452.8,786.3,165,N-2-21-0,EXTRACORPOREAL SHOCKWAVE LITHOTRIPSY (ESWL) PADA SALURAN KEMIH,6.584.000
552,50.0,102.5,452.8,786.3,166,N-2-22-0,PROSEDUR BESAR PADA GINJAL DAN URETER,2.520.700
552,50.0,102.5,452.8,786.3,167,N-2-23-0,PROSEDUR SEDANG PADA GINJAL DAN URETER,1.633.300
552,50.0,102.5,452.8,786.3,168,N-2-24-0,PROSEDUR KECIL PADA GINJAL DAN URETER,1.155.200
552,50.0,102.5,452.8,786.3,169,N-2-31-0,PROSEDUR BESAR PADA KANDUNG KEMIH DAN URETHRA,1.447.200
552,50.0,102.5,452.8,786.3,170,N-2-32-0,PROSEDUR KECIL PADA KANDUNG KEMIH DAN URETHRA,864.600
552,50.0,102.5,452.8,786.3,171,N-2-41-0,PROSEDUR BESAR PADA URETHRA DAN TRANSURETHRA,1.709.600
552,50.0,102.5,452.8,786.3,172,N-2-42-0,PROSEDUR KECIL PADA URETHRA DAN TRANSURETHRA,1.015.100
552,50.0,102.5,452.8,786.3,173,N-3-10-0,PROSEDUR PADA GINJAL DAN URETER,556.200
552,50.0,102.5,452.8,786.3,174,N-3-11-0,PROSEDUR DIAGNOSTIK LAIN PADA STUDI SALURAN KEMIH,830.400
552,50.0,102.5,452.8,786.3,175,N-3-12-0,PROSEDUR CYSTOSCOPI & PROSEDUR KECIL ENDOSKOPI SALURAN KEMIH,1.150.300
552,50.0,102.5,452.8,786.3,176,N-3-13-0,PROSEDUR BESAR ENDOSKOPI PADA SALURAN KEMIH,1.320.100
552,50.0,102.5,452.8,786.3,177,N-3-14-0,PROSEDUR KECIL ENDOSKOPI PADA SALURAN KEMIH,554.200
552,50.0,102.5,452.8,786.3,178,N-3-15-0,PROSEDUR DIALISIS,1.051.800
552,50.0,102.5,452.8,786.3,179,O-7-10-0,PROSEDUR PERSALINAN DENGAN BEDAH CAESAR,2.825.100
552,50.0,102.5,452.8,786.3,180,O-7-11-0,PERSALINAN VAGINAL DENGAN STERILISASI DAN ATAU PELEBARAN DAN KURETASE,2.531.600
552,50.0,102.5,452.8,786.3,181,O-7-12-0,PROSEDUR PERSALINAN VAGINAL DENGAN PROSEDUR SELAIN STERILISASI DAN ATAU PELEBARAN DAN KURETASE,2.237.100
552,50.0,102.5,452.8,786.3,182,O-7-13-0,PROSEDUR PERSALINAN MELALUI VAGINAL/JALAN LAHIR,1.697.400
552,50.0,102.5,452.8,786.3,183,P-9-11-0,"NEONATAL, BBL GROUP-2",546.800
552,50.0,102.5,452.8,786.3,184,P-9-12-0,"NEONATAL, BBL GROUP-3",529.900
552,50.0,102.5,452.8,786.3,185,P-9-13-0,"NEONATAL, BBL GROUP-4",480.400
552,50.0,102.5,452.8,786.3,186,P-9-14-0,"NEONATAL, BBL GROUP-5 DENGAN ANOMALI MAYOR ATAU KONDISI HEREDITER",458.300
552,50.0,102.5,452.8,786.3,187,P-9-15-0,"NEONATAL, BBL GROUP-5 DENGAN SINDROM ASPIRASI",394.700
552,50.0,102.5,452.8,786.3,188,P-9-16-0,"NEONATAL, BBL GROUP-5 DENGAN KONGENITAL/INFEKSI PERINATAL",448.600
552,50.0,102.5,452.8,786.3,189,P-9-17-0,"NEONATAL, BBL GROUP-5",478.400
552,50.0,102.5,452.8,786.3,190,Q-5-10-0,PENYALAHGUNAAN ZAT KIMIA AKUT,517.400
552,50.0,102.5,452.8,786.3,191,Q-5-11-0,PENYALAHGUNAAN ZAT KIMIA BUKAN AKUT,381.100
552,50.0,102.5,452.8,786.3,192,Q-5-12-0,GIGI,337.500
552,50.0,102.5,452.8,786.3,193,Q-5-13-0,MEDICAL CHECK-UP,158.300
552,50.0,102.5,452.8,786.3,194,Q-5-14-0,RONGENT (PLAIN FILM),209.200
552,50.0,102.5,452.8,786.3,195,Q-5-15-0,ELEKTROKARDIOGRAM (ECG),106.600
552,50.0,102.5,452.8,786.3,196,Q-5-16-0,VAKSINASI,121.700
552,50.0,102.5,452.8,786.3,197,Q-5-17-0,PASANG INFUS,119.300
552,50.0,102.5,452.8,786.3,198,Q-5-18-0,KONSULTASI ATAU PEMERIKSAAN LAIN-LAIN,391.300
552,50.0,102.5,452.8,786.3,199,Q-5-19-0,KONTAK PELAYANAN KESEHATAN LAIN-LAIN,206.700
552,50.0,102.5,452.8,786.3,200,Q-5-20-0,ABORSI MENGANCAM,267.300
552,50.0,102.5,452.8,786.3,201,Q-5-21-0,ABORSI,293.500
552,50.0,102.5,452.8,786.3,202,Q-5-22-0,PERSALINAN YANG SUKAR (FALSE LABOR),177.200
552,50.0,102.5,452.8,786.3,203,Q-5-23-0,PEMERIKSAAN ANTEPARTUM,189.500
552,50.0,102.5,452.8,786.3,204,Q-5-24-0,PEMERIKSAAN POSTPARTUM,120.600
552,50.0,102.5,452.8,786.3,205,Q-5-25-0,GASTROINTESTINAL AKUT,193.100
552,50.0,102.5,452.8,786.3,206,Q-5-26-0,BRONKIAL AKUT,245.300
552,50.0,102.5,452.8,786.3,207,Q-5-27-0,SISTEM PERSARAFAN PUSAT AKUT,184.200
552,50.0,102.5,452.8,786.3,208,Q-5-28-0,KECEDERAAN SISTEM PERSARAFAN PUSAT,299.900
552,50.0,102.5,452.8,786.3,209,Q-5-29-0,GAGAL JANTUNG KONGESTIF DAN KONDISI JANTUNG LAIN-LAIN,847.600
552,50.0,102.5,452.8,786.3,210,Q-5-30-0,INFARK MIOKARD AKUT DAN ARITMIA,982.700
552,50.0,102.5,452.8,786.3,211,Q-5-31-0,FRAKTUR,233.900
552,50.0,102.5,452.8,786.3,212,Q-5-32-0,SALURAN KEMIH AKUT,407.900
552,50.0,102.5,452.8,786.3,213,Q-5-33-0,HEMATOLOGI AKUT,231.400
552,50.0,102.5,452.8,786.3,214,Q-5-34-0,INFEKSI VIRUS HIV,278.900
552,50.0,102.5,452.8,786.3,215,Q-5-35-0,INFEKSI AKUT,686.200
552,50.0,102.5,452.8,786.3,216,Q-5-36-0,KEKACAUAN METABOLIK AKUT,587.400
552,50.0,102.5,452.8,786.3,217,Q-5-37-0,"CARDIAC ARREST, RESPIRATORY ARREST & SHOCK",474.300
552,50.0,102.5,452.8,786.3,218,Q-5-38-0,PARU AKUT,399.900
552,50.0,102.5,452.8,786.3,219,Q-5-39-0,KECEDERAAN BESAR PADA JARINGAN LUNAK,220.000
552,50.0,102.5,452.8,786.3,220,Q-5-40-0,INFEKSI SALURAN KEMIH AKUT,187.400
